ClientID;Age;Anciennete;FactureMensuelle;reclamations;satisfaction
CUST_00035;50;14;110.1491846799143;4;2.960304594975681
CUST_00036;59;32;22.15342192195007;1;3.681255896954903
CUST_00037;22;7;23.060105827388927;8;1.0
CUST_00038;31;62;115.88215150177601;4;3.05750592309394
CUST_00039;61;11;118.43220280086868;2;3.555288121871532
CUST_00040;38;16;66.60267051962985;1;3.911921293635659
CUST_00041;26;73;30.232300597048038;1;4.418298515993442
CUST_00042;57;109;28.43090255251444;0;4.0362139154074015
CUST_00043;64;42;45.26341681078006;1;3.9368479692899303
CUST_00044;45;45;95.11356851965057;6;1.6842041888490142
CUST_00045;68;91;78.80662985223749;0;4.780804210622557
CUST_00046;41;5;69.12299019580678;1;4.559958530914901
CUST_00047;70;107;117.98333625842818;2;3.9271229197950137
CUST_00048;38;65;104.55001198065729;0;4.431308760990243
CUST_00049;23;70;40.621737807413744;6;2.190091606364815
CUST_00050;61;112;39.87086883499091;6;1.922202900330416
CUST_00051;35;30;119.28048777677047;4;2.778375609207929
CUST_00052;49;56;45.71893787666265;2;3.5353763258873467
CUST_00053;78;64;75.19086318916885;5;2.032625942303963
CUST_00054;72;25;30.11168716459203;5;2.462446196644516
CUST_00055;60;13;103.20787793893967;2;3.4026936989834926
CUST_00056;60;85;98.87352652775031;3;3.635695957508026
CUST_00057;42;22;46.33977180022494;3;2.888664312016139
CUST_00058;75;49;113.10820123470354;2;4.135206208151146
CUST_00059;67;81;73.08178445480642;6;1.7721736221082527
CUST_00060;61;49;30.900422588840563;6;2.498571682850745
CUST_00061;19;52;35.175125006780945;4;2.5285676234177883
CUST_00062;60;6;60.07309134402956;3;2.9096141604920467
CUST_00063;67;2;116.90945434843607;4;3.0936443431930876
CUST_00064;32;6;117.34704502506924;4;2.5390690489490706
CUST_00065;24;93;43.12128787218756;0;4.127373229714482
CUST_00066;21;111;67.46953037466803;3;2.900073228648369
CUST_00067;69;101;67.26404663876255;1;4.369495161963352
CUST_00068;26;44;76.99209269501185;0;4.2776659898978115
CUST_00069;62;39;74.98952283806315;3;2.9485542184736797
CUST_00070;27;80;36.06694082590673;2;4.110825831383576
CUST_00071;76;82;22.9650200261117;4;3.2169681269192107
CUST_00072;61;39;106.46154199424593;4;3.3811768478148516
CUST_00073;32;3;82.57662458559194;1;4.291486360604691
CUST_00074;34;96;25.197937297481147;1;4.5266065751369124
CUST_00075;67;57;73.74686890932679;12;1.0
CUST_00076;76;83;94.99550121325662;0;4.273777355153327
CUST_00077;49;74;41.431241351699704;4;3.1370740258560392
CUST_00078;64;38;103.84257193322055;5;2.5459435866716067
CUST_00079;70;78;57.71735820210004;2;4.187894884471522
CUST_00080;30;59;72.2488029170928;2;3.773494182976099
CUST_00081;32;117;119.49308206733176;1;4.0428002126807385
CUST_00082;62;12;55.64076002705785;0;4.815960182484657
CUST_00083;66;110;56.71461926376956;7;1.894829842487857
CUST_00084;24;93;30.132331636842963;11;1.0
CUST_00085;22;44;85.77020350045989;11;1.0
CUST_00086;41;75;67.07972931743271;1;4.4901395125299715
CUST_00087;21;34;34.945167734706374;5;2.8030132724709644
CUST_00088;70;109;72.06099345738647;3;3.0610049508026003
CUST_00089;43;30;48.34779664363444;4;3.1512759569672926
CUST_00090;61;61;57.58233759665267;1;4.590158840168819
CUST_00091;73;101;41.16898513811497;2;3.808830300930894
CUST_00092;61;48;43.596085013241186;3;3.7827210470251806
CUST_00093;48;79;114.13730207119761;3;3.6468576365657905
CUST_00094;70;115;89.05183891783399;0;4.178765522624745
CUST_00095;45;116;34.86298260475686;4;3.0884572390779956
CUST_00096;40;36;116.57186026193385;4;2.824979739294559
CUST_00097;70;54;53.944866671250196;0;4.508372892973627
CUST_00098;32;30;73.72870626310498;1;4.061742271382096
CUST_00099;57;77;69.4174809106395;4;3.062855185715331
CUST_00100;78;93;43.482663553230054;1;3.7549142357932883
CUST_00101;48;52;77.76327102670123;8;1.3690839342271577
CUST_00102;69;84;37.972208105997936;6;1.79404857878145
CUST_00103;66;18;79.34756315280103;5;2.408709462288754
CUST_00104;29;87;43.01808335622321;1;3.732361266499979
CUST_00105;70;4;62.655255997474306;1;4.03602995264146
CUST_00106;22;117;77.7642679603889;7;1.5862746976099316
CUST_00107;72;55;49.152943648125316;3;3.745706878787668
CUST_00108;74;55;33.47581154441349;0;4.958843633500255
CUST_00109;56;4;105.11394442668163;0;4.943265925940201
CUST_00110;32;115;22.875305016083818;4;3.181412908308279
CUST_00111;30;51;30.92155992641205;3;3.351243441830801
CUST_00112;77;23;61.71432842684909;2;3.5455166323001497
CUST_00113;66;70;97.89231142670192;0;4.604002818858986
CUST_00114;65;65;118.67062125869242;1;4.118496486174
CUST_00115;54;71;65.01809011354283;2;3.600558856998799
CUST_00116;33;92;86.98514735804359;4;2.44483798553605
CUST_00117;40;86;78.78363697202188;8;1.4745664158360958
CUST_00118;25;49;100.86795479115555;2;3.27617163657982
CUST_00119;33;82;40.477958113905224;4;2.636804799396503
CUST_00120;66;65;108.45606292191103;4;2.8670777317063836
CUST_00121;67;50;112.82255225682383;1;3.623556038048192
CUST_00122;20;11;54.67922535942448;4;3.39030068895684
CUST_00123;39;62;62.48556441612534;7;1.3116294222574254
CUST_00124;57;57;102.81531231723635;4;2.8967558228347476
CUST_00125;64;107;48.49448274627434;2;4.187372376098927
CUST_00126;29;107;23.892514065601095;5;2.2347079820956472
CUST_00127;49;77;119.29478621616761;0;4.48820389709046
CUST_00128;78;44;100.93078393902732;3;3.67659972036066
CUST_00129;65;68;75.59834128779138;6;2.127571722485695
CUST_00130;75;107;51.560079142678916;3;3.6661790013893505
CUST_00131;76;26;117.83239864447938;2;4.073685012744888
CUST_00132;76;110;29.173939409847385;2;3.663738075504927
CUST_00133;52;37;104.97879096973902;4;3.133012769125477
CUST_00134;51;64;72.12900918332073;6;2.5559280734212146
CUST_00135;77;32;98.441158527878;0;4.662314600714102
CUST_00136;68;40;83.29619215645056;2;3.8330574119528134
CUST_00137;53;16;40.73250720755296;6;2.192549477161129
CUST_00138;53;40;62.523511082949696;7;1.7036069553876971
CUST_00139;20;59;105.86771090379791;4;3.1922869195607317
CUST_00140;28;82;95.89006004101418;0;4.291082559027996
CUST_00141;37;41;65.61005637009289;2;3.532679031847054
CUST_00142;53;110;74.7714429238195;2;3.2079429970602584
CUST_00143;30;56;42.63109618564495;4;3.0726577115250766
CUST_00144;22;48;106.74094000438933;12;1.0
CUST_00145;19;24;97.49783689037046;2;3.530490216187637
CUST_00146;24;42;117.72071576094334;1;4.287296494454723
CUST_00147;55;99;29.057747609553736;1;4.134771604418693
CUST_00148;43;14;41.03415977728223;1;4.171479399379675
CUST_00149;29;51;42.381778301551215;0;4.060480705906745
CUST_00150;33;63;65.48005602367603;3;3.245328641600954
